ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO23N000000098,소리책방,북카페,일반서적,16800,경기 용인시 수지구 동천로 622 2층,37.3576538910417,127.054796408866,9:00,17:30,,,,,,,,,소명협동조합에서 운영하는 소리책방입니다. 예쁜 책방 공간과 카페 그리고 넓은 테라스가 멋집니다,
KCCBSPO23N000000099,종로북앤베이커리 구리갈매점,북카페,일반서적,11901,경기 구리시 갈매순환로166번길 45 . 지하1층 B149호,37.6347039369487,127.123335648168,11:00,20:00,11:00,20:00,,,,,일요일,0315101227,,
KCCBSPO23N000000100,서점&카페 서다,북카페,일반서적,11023,경기 연천군 청산면 학담로 92,37.9970582096758,127.072323668975,11:00,19:00,11:00,19:00,11:00,19:00,,,"월요일, 화요일",050713130641,"로고에서 보듯, 서점이며 카페여서 글 서, 차 다 그래서 서다입니다.",
KCCBSPO23N000000101,열린책방,북카페,일반서적,51404,경남 창원시 성산구 창원대로 520,35.227475601561,128.651621571225,11:00,19:00,11:00,19:00,11:00,19:00,,,,07088870621,,
KCCBSPO23N000000102,빛솔서점,북카페,일반서적,05237,서울 강동구 고덕로 89 B02호,37.5549341269866,127.135286586028,13:00,22:00,13:00,22:00,,,,,일요일,050714039401,"작은 서점이지만, 북카페 형식으로 운영하는 서점입니다~! 편하게 오셔서 여유 있게 계시다가 좋은책도 구입하시고 성장하는 모든 이들되길 바랍니다.",
KCCBSPO23N000000103,정희책방,북카페,일반서적,30076,세종 부강면 부강로 31 2층,36.5287913702733,127.366392318629,9:00,21:00,9:00,21:00,,,,,일요일,0442750675,,
KCCBSPO23N000000104,오마이북,북카페,일반서적,38334,경북 청도군 화양읍 동천3길 67,35.6467670462551,128.711734630629,10:00,21:00,10:00,21:00,10:00,21:00,,,,0543713030,"매주 다양한 신간, 도서구입시 음료 천원 할인","주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 독서모임 : 가능"
KCCBSPO23N000000105,선택의자유,북카페,일반서적,42824,대구광역시 달서구 송현로10길 6 1층,35.8227749807047,128.547526931409,12:00,21:00,12:00,21:00,12:00,21:00,,,,050713479322,"작은책방/카페, 맞춤형 영어강의와 독서모임도 진행","카페 : 있음 : 독서모임 : 가능, 강연 : 가능"
KCCBSPO23N000000106,숲실그림책방&카페,북카페,그림서적,39660,경북 김천시 용전4로1길 6 1층 101호,36.1221258267347,128.1927095794,10:00,18:00,10:00,14:00,,,,,"월요일,일요일",,김천시 율곡동에 자리한 그림책방 & 카페 '숲실' 입니다.,
KCCBSPO23N000000107,책방느림,북카페,중고서적,52011,경남 함안군 대산면 월포길 4,35.351368940609,128.439423235678,11:30,19:00,11:30,19:00,11:30,19:00,,,,050713302386,다시 종이책의 시간으로... 책 향기 커피 향기가 머물러있는 곳,
KCCBSPO23N000000108,밀당책방,북카페,일반서적,52257,경남 산청군 신등면 신차로 526-9,35.379421173455,128.010036553079,11:00,19:00,11:00,19:00,11:00,19:00,,,,050713326139,한옥카페 소북과 함께하는 작은책방입니다. 산청동네책방입니다,
KCCBSPO23N000000109,그레타책방,북카페,그림서적,41919,대구광역시 중구 서성로14길 14 1층,35.8724203869861,128.588335030003,,,,,,,,,,050713083529,"그림책방, 인형극 책방",카페 : 있음
KCCBSPO23N000000110,북어위크,북카페,일반서적,06369,"서울 강남구 자곡로11길 28 LH수서2단지 상가 2층, 201호",37.4795720510379,127.107028932853,8:00,19:00,8:00,19:00,8:00,19:00,,,,050713591291,커피&북 셀렉샵 북어위크(bookaweek)입니다.,
